OID_,FID_Garage_Points_buffered,OID1,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_Buildings,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
-1,3,,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,-96.343410000000006,30.619240000000001,1500.000000000000000,1180,1000,,No,UNIVERSITY,1000,,Farm Service Office,1957,02,652 Farm Service Rd,College Station,77843,Farm Service Office |  | 1000,35.486258107096511,75.941005668522465
-1,3,,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,-96.343410000000006,30.619240000000001,1500.000000000000000,1195,1809,TVMDL,No,UNIVERSITY,1809,,TVMDL Building,2016,02,483 Agronomy Rd,College Station,77843,TVMDL Building | TVMDL | 1809,242.822698850094213,1819.111977627723491
-1,3,,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,-96.343410000000006,30.619240000000001,1500.000000000000000,1212,0170,,No,OTHER,0170,,TVMC-Deer Shelter (demolished),1964,01,670 Turk Rd,College Station,77843,TVMC-Deer Shelter (demolished) |  | 0170,31.406843689871579,61.607252322601212
-1,3,,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,-96.343410000000006,30.619240000000001,1500.000000000000000,1213,0000,,No,ACADEMIC,,,,,,,,, |  | ,13.298886679920400,10.552756326769360
-1,3,,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,-96.343410000000006,30.619240000000001,1500.000000000000000,1302,,,No,OTHER,,,,,,,,, |  | ,63.171405798468726,191.706976804464432
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,504,1603,DLH,No,ACADEMIC,1603,DLH,Donald L. Houston Building,2002,01,200 Discovery Dr,College Station,77843,Donald L. Houston Building | DLH | 1603,64.161764635787890,170.315602808619843
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,509,1602,ONRP,No,OTHER,1602,ONRP,1111 Research Parkway Bldg,1997,02,1111 Research Pw,College Station,77843,1111 Research Parkway Bldg | ONRP | 1602,248.298087084382416,1910.926549072827356
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,517,1598,,No,OTHER,1598,,1313 Research Parkway (Lynntech Building),2002,01,1313 Research Pw,College Station,77843,1313 Research Parkway (Lynntech Building) |  | 1598,249.548611590127763,3018.021458440599872
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,525,1604,OTRC,No,ACADEMIC,1604,OTRC,Offshore Technology Research Center,1990,02,1200 Mariner Dr,College Station,77843,Offshore Technology Research Center | OTRC | 1604,249.929719213581393,3318.627813402305947
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,527,1698,,No,UNIVERSITY,1698,,Research Park Switching Station,2000,01,1212 Mariner Dr,College Station,77843,Research Park Switching Station |  | 1698,61.720972458922944,207.569250058028842
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,531,1607,ALLN,No,ACADEMIC,1607,ALLN,Allen Building,1997,03,1004 George Bush Dr W,College Station,77843,Allen Building | ALLN | 1607,433.753498726879400,5340.759753813074894
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,532,1608,BPCC,No,ACADEMIC,1608,BPCC,Annenberg Presidential Conference Center,1997,02,1002 George Bush Dr W,College Station,77843,Annenberg Presidential Conference Center | BPCC | 1608,184.551043783194160,844.085933691660557
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,930, ,,No,UNIVERSITY,,,,,,,,, |  | ,41.803193000897210,86.398311580702497
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1115, ,,No,UNIVERSITY,,,,,,,,, |  | ,16.064219623793960,16.080492597693922
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1116, ,,No,UNIVERSITY,,,,,,,,, |  | ,17.148077112216843,18.372010502707816
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1124,1611,GERB,No,ACADEMIC,1611,GERB,Giesecke Engineering Research Building,2015,03,1617 Research Pw,College Station,77843,Giesecke Engineering Research Building | GERB | 1611,271.107280995673364,3404.150536542091231
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1352,1587,,No,SPORTS,1587,,Penberthy South Control Building,,,1234 Penderthy Bl,College Station,,Penberthy South Control Building |  | 1587,66.223354280051780,272.486171161977268
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1378,PB06,PW F,Yes,HOUSING PVT,PB06,PWF,Park West F,,,"503 George Bush Dr W, Ste F",College Station,77840,Park West F | PW F | PB06,100.507612989009715,385.541027651707907
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1380,PB08,PW H,Yes,HOUSING PVT,PB08,PWH,Park West H,,,"503 George Bush Dr W, Ste H",College Station,77840,Park West H | PW H | PB08,246.155164863866275,1612.769583237795587
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1381,PB09,PW J,Yes,HOUSING PVT,PB09,PWJ,Park West J,,,"503 George Bush Dr W, Ste J",College Station,77840,Park West J | PW J | PB09,1486.415912529296065,17559.174657706298603
